hồng ngọc,hngoc,hn|Hồng ngọc săn boss, up cold, up cskb, ĐHVT + ĐHVT23 + Siêu Hạng, Nạp thẻ (Còn nhiều cách khác)
nút di chuyển|Nút di chuyển bạn bấm vào nút tam giác bên tay trái rồi vào phần Chức Năng, chọn Cấu Hình, rồi chọn Bàn Phím Ảo nhé 
hồn thiên tôn,hồn chí tôn|Dùng cuồng nộ siêu cấp đánh quái cold sẽ rơi hồn thiên tôn, nâng ở Hạt mít đảo kame hoặc mua Rương thiên tôn (chí tôn) ở Santa (được chọn set)
hạ tôn|hồn hạ tôn, Cách kiếm: bạn dùng cuồng nộ thường và đánh quái cold sẽ rơi, Cách dùng: bạn xem ở Bà Hạt Mít 
mảnh hồn,kính soi,kính lúp,viên kẹo|Bạn mua [kính lúp], [kính soi], và [viên kẹo] sau đó đi tìm [mảnh hồn] nhé (có thể tìm được [rương chí tôn] từ chức năng này đó) Các [mảnh hồn] có thể đổi vài món đồ ở santa đó 
thức ăn,thuc an,đồ ăn|Thức ăn bạn mặc set thần linh rồi up quái cold là rơi 
black goku|Black goku mạnh vcl đấy mấy cưng, rơi nhẫn thời không để vào map Chilled 
winrar|Bạn tải về rồi bấm cài đặt rồi next next là cài được rồi: https://www.win-rar.com/fileadmin/winrar-versions/winrar/winrar-x64-701.exe
bảo trì,btri,btr|Xem Server có bảo trì hay không tại đây: http://ngocrongpk.com/trang-thai (Thường khởi động lại sau 1 phút)
nạp,donate|Nạp Tự Động -> Tại Trang chủ game nhé (Link trên ghim) xong vô santa đổi qua hồng ngọc hoặc thỏi vàng nhé
đồ thần,dtl,đồ tl|Đồ thần linh bạn săn boss tương lai hoặc Osin lúc 12h và 19h hoặc up cold nhé
hỗ trợ,ho tro nv,nv,nhiệm vụ|khung giờ hỗ trợ nhiệm vụ 9-12h sáng tối (ai nhiệm vụ đó mới được vào khu - áp dụng cho các boss từ TDST đến Xên Võ Đài) 
chiến thần|Chiến thần -> là đệ tử thứ 2 (không mặc đồ), Cách kiếm: mua trứng ở chỗ Đảo Hoa (chỗ Quy lão đi vào) hoặc Săn boss 22:00 ở Thành phố vegeta. Chức năng chiến thần -> chat 'ct'. Nơi up -> đảo hoa (chỗ quy lão đi vào).
calich,tương lai|Calich -> ở rừng bambo hoặc rừng dương xỉ hoặc nam kame (xong nhiệm vụ fide 3 mới thấy được calich để đến tương lai)
kuku,mập đầu đinh,map dau dinh,rambo|KuKu, Mập đầu đinh, Rambo -> 5 Phút -> Tìm nhanh ở Cui thành phố Vegeta
skh,set kích hoạt,set kh|Đồ kích hoạt đánh quái 3 map cạnh làng sẽ rơi
mảnh ấn|Mẩnh ấn tiêu diệt boss ở Hành tinh ngục tù sẽ rơi
mấy sao,level|Trang bị thường 10 sao và trang bị vip 12 sao, trang bị thường 9 cấp và trang bị vip 10 cấp (cày có hết) 
vô pt,xin pt,xin bang,vô pt,vô clan,xin clan|Bạn muốn vào bang hội thì nên chat thế giới rồi xin, ae trong game đông lắm
bang,pt|Ai có bang cho nó vào đi kìa
cày chay|Mèo méo meo mèo meo...mlem..mlem 
zeno|Về nhà nạp đầu đi là có cải trang zeno, mặc cải trang zeno đánh quái sẽ rơi đá, rồi vô nhà nâng cấp
đá quý,da quy,khí gas,khi gas|đá quý săn tiểu đội đường tăng hoặc đi khí gas ở làng aru nhé 
dbv,đá bảo vệ|đá bảo vệ bạn đi doanh trại rơi đầy hoặc mua 3000 Đá bảo vệ giá rẻ ở santa
khuyến mãi,km nạp|Game khuyến mãi nạp thẻ tối đa 30% chứ không có quá nha mọi người 
ngọc rồng siêu cấp,nrsc,ngọc rồng sc, nr siêu cấp,ước được gì|Ngọc rồng siêu cấp chỉ để ước (không ép được) (ước được gì thì ước đi rồi biết chứ tôi biết đâu) 
ai đẹp,bot đẹp|admin đẹp nhất nhé! Tôi đánh giá khách quan là như thế 
chán|Tại sao bạn lại chán, bắt con gián bỏ vô háng cho đỡ chán 
bot ngu,Bot ngu|mày mới là thằng ngu đó 
alo,lô,alô,hello,chào|Hello anh đẹp trai! Em là chatbot được phân công làm việc ở đây, anh cần giúp gì cứ nói nhé! 
chào bot|Hi! Chào cậu, cho mình làm quen nhé!   
bot khôn,bot không khôn|ai cũng biết rằng tôi khôn mà 
còn sống không|Tôi vẫn còn sống đây, tôi đứng đây chờ bạn từ chiều 
phụ kiện|phụ kiện mua ở santa cho nhanh  
cành tre|Bạn gom đủ 9999 rồi ghép thành cần câu đi câu cá nhé 
test,open,op,sv,mtv,mở tv,mở thành viên,open khi,open lúc,open ngày,mở ngày,kích hoạt tài khoản|Server Mới Open nhé (dame trung). Hỗ Trợ 100% Miễn Phí (Không thu gì hết) - Chức năng gì cũng có
chức năng|Các NPC đều có chỉ chức năng, bạn tới đó đọc nhé 
dhd,dts,đồ hủy diệt,đồ thiên sứ,đồ ts|Nâng cấp đồ ở thiên sứ đảo kame (có hướng dẫn) 
bịp|thằng bên trên mới bịp nhé 
cái gì,update,cái j,gì đây|Có nhiều thứ tôi chưa được biết đến, bạn cứ gửi vào nhóm đi mọi người sẽ giúp đỡ bạn nhé 
bot giận,bot dỗi|Tôi không biết giận đâu, ai chửi thì tôi chửi lại 
bot yêu|Tôi đang thầm yêu bạn nè! Xíu chúng ta in bóc nhau nhé 
boss bí ngô|Boss bí ngô khi bạn dùng mắt kính + kính lúp + kẹo mua ở Sau đảo kame (gặp Cu Tí) dùng để dò hồn sẽ rơi ra mảnh hồn đổi được rương thần linh kích hoạt với rương mị lực mở ra cốt chí tôn đó 
gửi video,quay video|Bạn quay video đi, rồi gửi vô đây mọi người hướng dẫn 
lặc|lặc má mày chứ lặc 
bot ơi|Có tôi đây! bạn muốn hỏi gì? nhớ ghi đúng chính tả tôi mới hiểu nhé 
ngũ hành sơn,nhs|ra làng aru gặp Đường tăng để vào Ngũ Hành Sơn 
ai lấy|Cho tui, cho tui đi 
im đi|mày im mẹ mồm vào đi
Địt|địt cái đầu mày chứ địt 
thông đít|thông đít mày 
bot nói nhiều|nói nhiều sao bằng mày được hả nhóc 
mệt|làm gì mà mệt hả? Đi bar quẩy đi
nv khó quá|Game nào cũng có nhiệm vụ dễ nhiệm vụ khó mới là game, dễ quá thì ai cũng qua sẽ đâm ra chán. Nên hãy cứ đam mê đi! 
max cs,max chi so,chi so max|HP KI 780K SD 40K nhé 
tiền chưa vào|nạp tiền chưa cộng thì chờ 3-5phut chưa cộng thì liên hệ key vàng 
trạng thái|Trạng Thái: Đang hoạt động 
Super Kamejoko,Ma Phong Ba,Liên Hoàn Chưởng,Super Kame,skill9,skill 9,Skill đặc biệt|Chiêu đặc biệt học ở quy lão ( mua 1 sách học 9 lần là full 9 cấp ) gặp quy lão
Skill đệ tử|Đệ tử có 6 chiêu ước rồng thường đổi được skill 2-3-4, rồng từ các event đổi skill 1-5 nhé quý zị 
kí gửi,ký gửi|Kí gửi mua bán bằng hồng ngọc nhé (Kí cửa hàng free mất không bảo hành - Kí cửa hàng Vip sẽ bảo hành)
trái thần long,mảnh đất,cây cuốc,khu đất,nông trại|Bạn mua đất + cây cuốc rồi săn boss đủ 30 điểm sẽ trồng được cây thần long, thu hoạch trái thần long ăn vào tăng chỉ số ( đặc biệt không bị ảnh hưởng với sức mạnh chí tôn ) 
tàu pảy pảy|tàu pảy pảy xuất hiện ở Rừng karin, tiêu diệt hắn sẽ rơi item siêu cấp nhé 
lệnh,auto|Cần lệnh gì thì nói vào đây đi anh em chỉ cho
cảm ơn bot,ok bot|Dạ không có gì đâu anh yêu! Nhiệm vụ của em mà 
scam|Sì Trái Cam là hành vi vi phạm đạo đức của một con người! Xin đừng Sì Trái Cam 
đệ,gohan,itachi,mabu,ma bư,trứng bư,mabư,bư|ĐỆ THƯỜNG 0% -> săn Super Broly, MABƯ 30% -> săn Mabư, GOHAN BƯ 50% -> săn bư 12h và 19h ở ĐHVT, ITACHI 70% -> mua ở santa.
Vòng quay thượng đế|Vòng quay thượng đế quay tốn hồng ngọc (chưa thêm vật phẩm đặc biệt) 
mới chơi|Bạn mới chơi thì năng nổ giao tiếp với mọi người trong box nè, nhất là giao tiếp với tôi nhé! 
share,event,even|Đăng nhập vào web -> rồi bấm qua diễn đàn -> bấm vô santa -> rồi tham gia -> Nhớ đọc kĩ rồi làm 
khắc ấn vô song|Khắc ấn sẽ không mất bông tai vô song nhé 
chân mệnh,tu luyện,vòng chân|bạn lên hành tinh Bill gặp thiên sứ whis để nâng chân mệnh nhé. điểm tu luyện làm nhiệm vụ tu luyện ở whis. 1000 điểm 1 level 
rep ad,admin,Kiệt|Admin là người có chìa khóa vàng, ad chưa rep là ad đang đi bú chem chép. rảnh tay ad sẽ rep liền. đừng có hối nhé 
phiếu giảm giá,pgg|phiếu giảm giá bạn săn boss đô rê a mon hoặc liễu thần nhé (đổi rương thần tiên ở Vados) 
đền bù|bù khu chứ bù, chơi game free all còn bù 
đẹp đâu,đẹp cc|Tôi thấy đẹp mà 
ngọc hóa|Ngọc hóa kiếm ở boss Cooler, max 7 level nhé 
hộ tống|Gặp đường tăng làng aru để tham gia hộ tống
bỏ qua nv|Bạn bỏ qua nhiệm vụ tân thủ ở nhà và bỏ qua nv chính tuyến ở Nhà đó, bỏ 1 lần hẳn 1 level không phải nhiệm vụ nhỏ 
cốt|Cốt chí tôn rơi từ các sự kiện và chức năng khác nhau. ép vào trang bị sẽ tăng chỉ số trang bị cực mạnh, nếu mặc đủ 3 món sẽ tăng thêm 10%, 4 món 20%, 5 món 30%. Những ai đứng gần sẽ bị giảm sát thương đi 50% mỗi 30 giây. Nhai trái thần long để không bị giảm khi đứng gần Chí Tôn nhé 
set gì|set love nhé (setlove cùng mình nè) 
pháo trẻ trâu|sử dụng pháo trẻ trâu sẽ nổ banh lon cả khu nhé 
ngọc bội,eyes,dns,susano,đá ngũ sắc|Bạn mua ngọc bội ở santa, sau đó mang bội lên người rồi train quái ở Làng lá (đường vào ở quy lão - đến đảo - chạy qua trái sẽ đến làng lá) Bạn train sẽ rơi mảnh mắt. thu thập đủ mảnh mắt thì nâng bội lên Susano (eyes chính thức) mới nâng thì eyes sẽ 1% 3 loại chỉ số. up càng nhiều nâng càng nhiều chỉ số susano sẽ tăng lên. hãy nâng susano lên 50% 55% 55% rồi mới đi đục lỗ ép sao nhé 
dnc,đá nâng cấp,tat,ruby|Đá nâng cấp ở santa (Rương đá nâng cấp) bạn có thể mua rồi sử dụng sẽ ra 1 đống đá nâng cấp nhé (thạch anh tím, ruby, titan,..)
đổi tên|Thẻ đổi tên mua ở santa, được đổi tên thành có Dấu viết hoa và kí tự đặc biệt nhé (đừng đặt quá dài sẽ bị mất thẻ đổi tên mà không đổi được tên) 
trứng linh thú|trứng linh thú nở ra linh thú
mảnh sưu tầm|Mảnh sưu tầm quái nào bạn train quái đó là rơi 
chờ duyệt|Bài chờ duyệt vẫn tính (yêu cầu chụp lại bài chờ duyệt) 
bông tai,porata,mvbt,đá đỏ,đá xanh,btc2,btc3|BÔNG TAI CẤP 2 max 15%, BÔNG TAI CẤP 3 max 25%, BÔNG TAI CẤP 4 (VôSong) 25% + Thêm Chỉ Số (Chỉ mua ở Santa - Cày hồng ngọc rồi mua), nguyên liệu C2,C3 -> Gặp quy lão -> Khu vực bang hội -> Giuma -> Up nguyên liệu bông tai
sợ chưa|Chưa sợ, ngon nhào zô 
bot var|ngon vào đây mà var này
